x,y
350.2000122,-4369.8005
569.6499939,-4728.5505
125.4000092,-4666.400082
412.8000031,-4644.400075
782,-4339.849933
566.1999969,-4592.202061
288.8000031,-4399.59975
218.3999939,-4426.199485
299.7999954,-4479.899979
8.199996948,-4240.800332
82,-4284.5
163.8000031,-4128.000366
610,-3910
801.1999969,-4062.400067
495.1999969,-3736.199851
966.1000061,-4013.901264
1001.5,-4192.900532
1099,-4128
1107,-4228
1041,-4333
1023.350006,-4412.499817
1184,-4342
1096,-3948
1180,-3848
1088,-3750
1143,-3610
1259,-3472
1519.199982,-3599.998902
1455,-3290
1067,-3191
901,-3055
1119,-2987
1653,-3394
1797,-3398
1903,-3176
2014,-3135
2023,-3062
2096,-2909
2155,-3260
2356,-3130
2423,-2993
2376,-2858
2658,-2789
2467,-2443
2779,-2601
2622,-2656
3085,-2807
2001,-3391
2204,-3351
2320,-3305
2220,-3435
2391,-3505
2215,-3580
2213,-3907
2609,-3815
2890,-3940
2712,-4162
2123,-4515
1997,-4701
2638.5,-4577
2934,-4770
3707.200012,-4341.800134
4082.800018,-3008.400067
1431,-4361
1494,-4279
-479,-3662
-578,-3345
-601,-3430
-301,-3417
-446,-3288
-188,-3216
-92,-3262
-385,-3202
-638,-3148
-495,-3093
-246,-3115
-165.5,-3059
-54,-3069
-283,-2944
-655,-2974
-522,-2840
-476.1673725,-2873
-306,-2767
-337,-2637
-255,-2840
34,-2889
-81,-2796
-95,-2705
-66,-2560
30,-2739
266.5,-2927
128,-2643
257,-2525
-50,-2233
-242,-2343
705,-2446
78,-2020
36,-2029
159,-1944
315,-2091
841,-2088
713,-2004
847,-1949
640,-1928
627,-1820
908,-1808
1091.5,-1433.5
821,-1588
1129,-1722
1196,-1651
1129,-1464
787,-1317
1542,-1355
1285,-663
1722,-686
1874,-542
1507,-370
496,-1697
442,-1555
-110,-1426
240.5,-1267.5
-93,-1192
245,-1190
343,-1143
668,-1186.5
67,-990
230,-856
708,-880
570,-747
-103,-527
100,-564
194,-655
-437,-967
-442,-1274
-855,-612.5
-735,-593
-666.5,-613
-1124,-486.5
-1001,-367.5
-1182,-138.5
-919,-100
-1177.5,45
-645.5,-157.5
-260,-278
-317,-246
-312,-128
-404,-41
-197,72
-149.5,183
-519,300
-722,296
-1166,343
-1382,-1032
-1392,-1214
-994.5,-2965
-1200,-2743.5
-1132.5,-2682
-831,-2695
-1194.833994,-2444.167876
-680,-2357.5
-155.5,-1853.5
-347,-1932
-558,-1362.5
-628.5,-1671
764,56
-731,-1853.5
-899.5,-1677.5
-1038,-1583
-1148,-1696
-1085,-1798
-1194,-1797
-1218.666892,-1823.166778
-1325,-1655
-1377,-1940
-1115,-2086.5
-1074.5,-2179.5
-1232,-2141
-1591,-2474.5
-1656.499609,-2297.332848
-1629.5,-2129
-1801.5,-2101
-1670.5,-2091
-1618,-2010.5
-1518.5,-2003.5
-1815,-1816
-1939,-1854.5
-1932,-1704.5
-1857,-1725
-1715,-1784.5
-1686,-1779.5
53,-2472
884,-1617
-377,-1811
-743.5,-2617
2046,-292
-193,-2009
1243.162799,-4496.251098
905.0027337,-3695.994513
791.624463,-2929.371799
1365.237585,-3480.490118
1853.666794,-3465.417251
2134.337088,-3097.002926
2246.499707,-2649.002195
2539,-2943
2762,-4285
2121.997266,-4661.084033
423.1674854,-2879.996342
-176,-3039
908.3277459,-2183.666047
-1214.791697,-2754.208031
-1193.995892,-2447.165879
-1360.168837,-2232.16405
-1572.750098,-1422.333222
-914.166509,-738.1746433
-669,26
1431.332402,-10.6693696
-570.2031277,-3211.656687
-478.2792461,-3013.558827
-425.9533443,-3326.270449
-410.3969951,-3285.235892
-376.4558696,-3220.146595
-346.7573848,-3187.601947
-348.1715984,-3075.818154
-324.1299678,-3087.138032
-216.6497371,-3145.152405
-1298.333604,-2451.331743
-1313.668184,-2272.833084
-1222.333183,-2357.332856
-1222.999213,-2323.998354
-1453.331831,-2226.83493
-1688.001573,-2255.002012
-1674,-2028.502195
-1726,-2084.59594
-1771.168154,-1871.999268
-1668,-1886.487973
-1651.999213,-1788.999451
-1191,-1781.430718
-1203.000197,-1675.496342
-947,-1692.382187
-1179,-2159.852227
-1231.00059,-2119.995976
-1347.000787,-2196.500183
-1310.666802,-2132.332825
566.499705,-2931.500948
570,-2928.841866
-1813.666787,-1975.666809
-1105.000983,-1991.000366
-1093.00059,-1988.502744
-1079.000787,-1885
-935.9998034,-1833.500915
-1037,-1833
-1031,-1844
-1479,-1196
-1466.99941,-1199.002195
-142.5,-129.5
-52,-113
-61.5,-104
-77,-9
-50.5,-16
-23,-38
-21,-44.5
10.5,-2205
58.5,-2185.5
146,-2085
119,-2074.5
160,-2041.5
143.5,-2006.5
168.5,-1975.5
146,52.5
152.500295,57.00292647
-56,1.5
-8.5,-70
-89,-12
-81,-11.5
-40.5,-21.5
-126.1666067,-224.1667784
-104.332417,-210.501829
-104.5,-161.5
-111.5,-139.5
-118.5,-137
-155.5,-121
-12.5,-51
-9,-77
-64,-95.5
-247.5,-3374.5
-272,-3372.5
-301,-3388
-302,-3372.5
-296,-3337
-360.5,-3382
-415.5,-3357
-468,-3371.002124
-238,-3339.936307
-324.5,-3291
-261,-3295.5
-460,-3215.5
-460,-3257.5
-466,-3247
1106.055071,-3726.231846
1092.054251,-3681.256687
1100.054719,-3675.259999
1063.052552,-3606.298088
1050.05179,-3584.310232
1079.053489,-3539.335073
1045.051497,-3557.325136
1050.05179,-3547.330657
1039.051146,-3559.324032
1039.051146,-3551.328449
1045.051497,-3502.355497
1025.050325,-3474.370954
1002.048978,-3516.347769
1011.049505,-3512.349977
989.0482164,-3529.340593
1033.050794,-3574.315752
1015.04974,-3577.314096
1022.05015,-3571.317408
999.0488022,-3557.325136
1004.049095,-3556.325688
967.0469275,-3552.327897
974.0473376,-3546.331209
962.0466346,-3542.333417
965.0468103,-3491.361569
882.5,-3409.166809
889.8331828,-3406.333587
831.6673725,-3399.000366
855.6652398,-3402.16312
813.0001953,-3429.499634
816.6662161,-3421.500366
1753.045932,-3268.332313
1755.046049,-3257.338385
1737.044994,-3269.331761
1733.04476,-3261.336177
1725.044291,-3249.342801
1719.04394,-3246.344457
1715.043705,-3237.349425
1720.043998,-3204.367642
1722.044115,-3195.37261
1704.043061,-3179.381442
